# x/A y/A z/A  W/(kJ/mol)
  39.479   57.986   -1.143 -2.511e-01
  39.343   57.970    3.478 -4.164e-01
  39.660   57.984    7.788 -7.462e-01
  39.903   58.010   11.791 -1.230e+00
  40.306   58.274   14.948 -1.691e+00
  41.075   58.709   17.954 -2.090e+00
  42.270   59.062   21.443 -2.519e+00
  44.375   59.515   23.231 -3.337e+00
  46.905   60.305   23.896 -4.701e+00
  49.098   61.292   24.288 -5.907e+00
  51.272   61.786   24.679 -6.495e+00
  53.680   62.655   25.322 -7.651e+00
  55.860   63.176   25.646 -8.300e+00
  58.307   62.820   26.343 -7.909e+00
  60.570   63.568   27.337 -7.705e+00
  63.026   64.699   28.745 -7.742e+00
  65.083   65.472   30.250 -7.631e+00
  65.813   65.704   32.250 -7.778e+00
  66.269   65.355   34.250 -7.507e+00
  66.632   64.810   36.250 -6.064e+00
  66.005   63.360   38.250 1.571e+01
  65.148   64.061   40.250 8.314e+01
  64.549   64.909   42.250 7.533e+01
  64.185   65.041   44.250 7.991e+01
  64.123   65.356   46.250 8.808e+01
  64.671   64.499   48.250 1.183e+02
  64.777   64.706   50.250 1.065e+02
  64.739   64.472   52.250 1.021e+02
  64.862   64.861   54.250 1.277e+02
  65.490   65.745   56.250 1.069e+02
  66.408   65.639   58.250 8.124e+01
  66.240   65.352   60.250 7.182e+01
  65.628   65.310   62.250 6.579e+01
  65.300   63.871   64.250 8.077e+01
  65.196   63.568   66.250 8.292e+01
  65.197   63.416   67.250 6.876e+01
  64.980   65.471   69.250 4.618e+01
  64.974   65.400   71.250 7.284e+01
  65.444   65.622   73.250 8.519e+01
  65.605   63.268   75.250 9.154e+01
  65.793   63.141   77.250 8.492e+01
  65.859   63.333   79.250 7.849e+01
  65.921   63.537   81.250 3.869e+01
  65.984   63.736   83.250 5.293e-01
  66.074   63.950   85.250 -8.717e+00
  66.613   64.653   87.250 -8.415e+00
  66.310   65.861   89.050 -8.078e+00
  65.449   65.770   91.050 -8.292e+00
  64.483   65.223   93.050 -8.083e+00
  64.428   65.267   95.050 -8.159e+00
  64.340   64.866   97.050 -8.352e+00
  64.305   64.705   99.050 -8.542e+00
  64.423   64.132  101.050 -8.884e+00
  65.118   64.544  103.050 -9.042e+00
  64.871   65.073  105.050 -9.252e+00
  64.475   65.426  107.050 -9.158e+00
  64.802   65.482  109.050 -8.970e+00
  65.085   65.574  111.050 -8.476e+00
  65.276   65.946  113.050 -7.683e+00
  65.247   65.977  115.050 -7.046e+00
  64.978   66.001  117.050 -6.606e+00
  64.653   66.095  119.050 -6.337e+00
  64.688   65.907  121.050 -6.039e+00
  64.823   67.734  123.050 -5.941e+00
  65.098   64.996  125.050 -5.157e+00
  64.981   65.156  127.050 -4.829e+00
  64.760   65.214  129.050 -4.261e+00
  64.207   65.653  131.050 -3.809e+00
  63.676   65.698  133.050 -3.390e+00
  63.545   65.444  135.050 -3.038e+00
  63.353   64.910  137.050 -2.792e+00
  62.722   64.672  139.050 -2.584e+00
  62.281   64.565  141.050 -2.350e+00
  62.478   64.826  143.050 -2.182e+00
  62.806   65.123  145.050 -1.935e+00
  63.386   65.057  147.050 -1.594e+00
