     0.000      0.000    -60.000
     0.000      0.000    -50.000
     0.000      0.000    -40.000
     0.000      0.000    -35.000
     0.000      0.000    -30.000
     0.000      0.000    -25.000
     0.000      0.000    -20.000
     0.000      0.000    -15.000
     0.000      0.000    -10.000
     0.000      0.000     -5.000
     0.000      0.000      0.000
     0.000      0.000      5.000
     0.000      0.000     10.000
     0.000      0.000     15.000
     0.000      0.000     20.000
     0.000      0.000     25.000
     0.000      0.000     30.000
     0.000      0.000     35.000
     0.000      0.000     40.000
     0.000      0.000     50.000
